类别,模型系列,模型名称,平台,服务渠道,部署范围,计费层级或模式,计费模态或Token类型,输入价格(美元/百万Token),缓存输入价格(美元/百万Token),输出价格(美元/百万Token),5分钟缓存写入价格(美元/百万Token),1小时缓存写入价格(美元/百万Token),缓存命中价格(美元/百万Token),批处理输入价格(美元/百万Token),批处理输出价格(美元/百万Token),长上下文输入价格(美元/百万Token),长上下文输出价格(美元/百万Token),来源链接,备注
DeepSeek,DeepSeek-V3,deepseek-v3,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2,,8,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价
DeepSeek,DeepSeek-R1-Distill-Qwen-7B,deepseek-r1-distill-qwen-7b,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.5,,1,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
DeepSeek,DeepSeek-R1-Distill-Qwen-14B,deepseek-r1-distill-qwen-14b,阿里云百炼,阿里云,中国内地,Standard,Text tokens,1,,3,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
DeepSeek,DeepSeek-R1-Distill-Qwen-32B,deepseek-r1-distill-qwen-32b,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2,,6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
Kimi,Kimi K2.5,kimi-k2.5,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,21,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；月之暗面
Kimi,Kimi K2 Thinking,kimi-k2-thinking,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,16,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；月之暗面
Kimi,Kimi K2 Instruct,Moonshot-Kimi-K2-Instruct,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,16,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；月之暗面
MiniMax,MiniMax M2.5,MiniMax-M2.5,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.1,,8.4,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；稀宇科技；仅思考模式
MiniMax,MiniMax M2.1,MiniMax-M2.1,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.1,,8.4,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；稀宇科技；仅思考模式
,,,,,,,,,,,,,,,,,,,
文心一言,ERNIE 5.0,ernie-5.0,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,6,,24,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token
文心一言,ERNIE 4.5 Turbo,ernie-4.5-turbo-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.8,,3.2,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
文心一言,ERNIE 4.5,ernie-4.5,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token
文心一言,ERNIE Speed Pro,ernie-speed-pro-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.3,,0.6,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
文心一言,ERNIE Lite Pro,ernie-lite-pro-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.2,,0.4,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
DeepSeek,DeepSeek-R1,deepseek-r1,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,2,,8,,,,,,,,https://ai.baidu.com/ai-doc/WENXINWORKSHOP/qm6oyumhw,价格单位为元/百万Token；千帆托管
DeepSeek,DeepSeek-V3,deepseek-v3,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.8,,1.6,,,,,,,,https://ai.baidu.com/ai-doc/WENXINWORKSHOP/qm6oyumhw,价格单位为元/百万Token；千帆托管
GLM,GLM-5,glm-5,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,4,,18,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；智谱；输入≤32k
GLM,GLM-4.7,glm-4.7,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,2,,8,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；智谱；主档位
Kimi,Kimi K2.5,kimi-k2.5,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,4,,21,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；月之暗面
Kimi,Kimi K2 Instruct,kimi-k2-instruct,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；月之暗面
MiniMax,MiniMax M2.5,minimax-m2.5,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,2.1,,8.4,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；稀宇科技
MiniMax,MiniMax M2.1,minimax-m2.1,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,2.1,,8.4,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；稀宇科技
,,,,,,,,,,,,,,,,,,,
混元,Tencent HY 2.0 Think,tencent-hy-2.0-think,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3.975,,15.9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；输入≤32k
混元,Tencent HY 2.0 Think,tencent-hy-2.0-think,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,5.3,,21.2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；32k<输入≤128k
混元,Tencent HY 2.0 Instruct,tencent-hy-2.0-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3.18,,7.95,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；输入≤32k
混元,Tencent HY 2.0 Instruct,tencent-hy-2.0-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,4.505,,11.13,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；32k<输入≤128k
混元,Hunyuan-T1,hunyuan-t1,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1,,4,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-TurboS,hunyuan-turbos,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.8,,2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-a13b,hunyuan-a13b,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.5,,2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-large-role,hunyuan-large-role,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,2.4,,9.6,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-translation,hunyuan-translation,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1.2,,3.6,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；翻译模型
混元,Hunyuan-translation-lite,hunyuan-translation-lite,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1,,3,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；翻译模型
混元,Tencent HY Vision 1.5 Instruct,tencent-hy-vision-1.5-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-turbos-vision,hunyuan-turbos-vision,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-t1-vision,hunyuan-t1-vision,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-turbos-vision-video,hunyuan-turbos-vision-video,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态视频
混元,Hunyuan-embedding,hunyuan-embedding,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.7,,0.7,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；Embedding
混元,Hunyuan-lite,hunyuan-lite,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0,,0,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；免费使用
DeepSeek,DeepSeek-R1,deepseek-r1,知识引擎原子能力,腾讯云,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://cloud.tencent.com/document/product/1772/116385,价格单位为元/百万Token；思维链按输出计费
DeepSeek,DeepSeek-V3,deepseek-v3,知识引擎原子能力,腾讯云,中国内地,按量后付费,Text tokens,2,,8,,,,,,,,https://cloud.tencent.com/document/product/1772/116385,价格单位为元/百万Token
DeepSeek,DeepSeek-V3-0324,deepseek-v3-0324,知识引擎原子能力,腾讯云,中国内地,按量后付费,Text tokens,2,,8,,,,,,,,https://cloud.tencent.com/document/product/1772/116385,价格单位为元/百万Token
GLM,GLM-5,glm-5,智能体开发平台,腾讯云,中国内地,按量后付费,Text tokens,6,,22,,,,,,,,https://cloud.tencent.com/document/product/1759/127342,价格单位为元/百万Token；智谱；2026年3月正式计费
MiniMax,MiniMax M2.5,minimax-m2.5,智能体开发平台,腾讯云,中国内地,按量后付费,Text tokens,2.1,,8.4,,,,,,,,https://cloud.tencent.com/document/product/1759/127342,价格单位为元/百万Token；稀宇科技
Kimi,Kimi K2.5,kimi-k2.5,智能体开发平台,腾讯云,中国内地,按量后付费,Text tokens,4,,21,,,,,,,,https://cloud.tencent.com/document/product/1759/127342,价格单位为元/百万Token；月之暗面
,,,,,,,,,,,,,,,,,,,
Step,step-3.5-flash,step-3.5-flash,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,0.7,0.14,2.1,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；推理大模型
Step,step-r1-v-mini,step-r1-v-mini,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,2.5,0.5,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；推理大模型
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1.5,0.3,4,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；输入≤4k且输出≤4k
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1.5,0.3,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；输入≤4k且输出>4k
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,4,0.8,10,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；4k<输入≤64k
Step,step-2-mini,step-2-mini,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1,0.2,2,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；文本大模型
Step,step-2-16k,step-2-16k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,38,7.6,120,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；文本大模型
Step,step-1-8k,step-1-8k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,5,1,20,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；8k上下文
Step,step-1-32k,step-1-32k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,15,3,70,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；32k上下文
Step,step-1-256k,step-1-256k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,95,19,300,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；256k上下文
Step,step-1o-turbo-vision,step-1o-turbo-vision,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,2.5,0.5,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；视觉大模型
Step,step-1o-audio,step-1o-audio,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,25,5,60,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；端到端语音模型
,,,,,,,,,,,,,,,,,,,
Kimi,Kimi 8k,moonshot-v1-8k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,12,,12,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；8k上下文；输入输出合并计费
Kimi,Kimi 32k,moonshot-v1-32k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,24,,24,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；32k长文本；输入输出合并计费
Kimi,Kimi 128k,moonshot-v1-128k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,60,,60,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；128k超长文档；输入输出合并计费
Kimi,Kimi Vision 8k,moonshot-v1-8k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,12,,12,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态图片理解；图片按1024 tokens计入
Kimi,Kimi Vision 32k,moonshot-v1-32k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,24,,24,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态
Kimi,Kimi Vision 128k,moonshot-v1-128k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,60,,60,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态
