类别,模型系列,模型名称,平台,服务渠道,部署范围,计费层级或模式,计费模态或Token类型,输入价格(美元/百万Token),缓存输入价格(美元/百万Token),输出价格(美元/百万Token),5分钟缓存写入价格(美元/百万Token),1小时缓存写入价格(美元/百万Token),缓存命中价格(美元/百万Token),批处理输入价格(美元/百万Token),批处理输出价格(美元/百万Token),长上下文输入价格(美元/百万Token),长上下文输出价格(美元/百万Token),来源链接,备注
混元,Hunyuan-large-role,hunyuan-large-role,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,2.4,,9.6,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-translation,hunyuan-translation,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1.2,,3.6,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；翻译模型
混元,Hunyuan-translation-lite,hunyuan-translation-lite,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1,,3,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；翻译模型
混元,Tencent HY Vision 1.5 Instruct,tencent-hy-vision-1.5-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-turbos-vision,hunyuan-turbos-vision,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-t1-vision,hunyuan-t1-vision,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态
混元,Hunyuan-turbos-vision-video,hunyuan-turbos-vision-video,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3,,9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；多模态视频
混元,Hunyuan-embedding,hunyuan-embedding,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.7,,0.7,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；Embedding
混元,Hunyuan-lite,hunyuan-lite,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0,,0,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；免费使用
,,,,,,,,,,,,,,,,,,,
Step,step-3.5-flash,step-3.5-flash,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,0.7,0.14,2.1,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；推理大模型
Step,step-r1-v-mini,step-r1-v-mini,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,2.5,0.5,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；推理大模型
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1.5,0.3,4,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；输入≤4k且输出≤4k
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1.5,0.3,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；输入≤4k且输出>4k
Step,step-3,step-3,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,4,0.8,10,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；4k<输入≤64k
Step,step-2-mini,step-2-mini,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,1,0.2,2,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；文本大模型
Step,step-2-16k,step-2-16k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,38,7.6,120,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；文本大模型
Step,step-1-8k,step-1-8k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,5,1,20,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；8k上下文
Step,step-1-32k,step-1-32k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,15,3,70,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；32k上下文
Step,step-1-256k,step-1-256k,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,95,19,300,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；256k上下文
Step,step-1o-turbo-vision,step-1o-turbo-vision,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,2.5,0.5,8,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；视觉大模型
Step,step-1o-audio,step-1o-audio,阶跃星辰开放平台,阶跃星辰,中国内地,按量计费,Text tokens,25,5,60,,,,,,,,https://platform.stepfun.com/docs/pricing/details,价格单位为元/百万Token；端到端语音模型
,,,,,,,,,,,,,,,,,,,
Kimi,Kimi 8k,moonshot-v1-8k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,12,,12,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；8k上下文；输入输出合并计费
Kimi,Kimi 32k,moonshot-v1-32k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,24,,24,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；32k长文本；输入输出合并计费
Kimi,Kimi 128k,moonshot-v1-128k,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,60,,60,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://platform.moonshot.cn/console/fee-detail,价格单位为元/百万Token；128k超长文档；输入输出合并计费
Kimi,Kimi Vision 8k,moonshot-v1-8k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,12,,12,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态图片理解；图片按1024 tokens计入
Kimi,Kimi Vision 32k,moonshot-v1-32k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,24,,24,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态
Kimi,Kimi Vision 128k,moonshot-v1-128k-vision-preview,Kimi开放平台,月之暗面,中国内地,按量计费,Text tokens,60,,60,,,,,,,,https://platform.moonshot.cn/docs/pricing/chat | https://www.kimi-zh.com/price.html,价格单位为元/百万Token；多模态
